timestamp, utilization
2022/11/24 22:59:09.678, 0 %
2022/11/24 22:59:09.793, 0 %
2022/11/24 22:59:09.908, 11 %
2022/11/24 22:59:10.021, 11 %
2022/11/24 22:59:10.135, 12 %
2022/11/24 22:59:10.250, 3 %
2022/11/24 22:59:10.364, 3 %
2022/11/24 22:59:10.478, 7 %
2022/11/24 22:59:10.591, 7 %
2022/11/24 22:59:10.703, 13 %
2022/11/24 22:59:10.816, 13 %
2022/11/24 22:59:10.929, 7 %
2022/11/24 22:59:11.043, 7 %
2022/11/24 22:59:11.157, 6 %
2022/11/24 22:59:11.271, 7 %
2022/11/24 22:59:11.384, 7 %
2022/11/24 22:59:11.498, 10 %
